Stock quote and option quote for SPX on 4/9/26 09:07:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
6776.74, ,-6.07,6774.34, ,6779.50, ,<empty>,<empty>,6783.69,6783.69,6768.56

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,<empty>,<empty>,<empty>,--,,7002.28,5101.63,0,1

8 APR 26  (-1)  100 (Weeklys)

9 APR 26  (0)  100 (Weeklys)

10 APR 26  (1)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,<empty>,0,1,2,0,0, ,1218.20,C,1238.40,C,10 APR 26,5550,0,C,.05,C,<empty>,"2,734",80,<empty>,12,.10,C,,
,,<empty>,1,1,2,1,1017.25,C,1192.00,C,1213.40,C,10 APR 26,5575,0,C,.05,C,1,606,86,<empty>,1,.05,C,,
,,<empty>,1,2,2,1,974.40,C,1168.20,C,1188.60,C,10 APR 26,5600,0,C,.05,C,1,"4,341",857,<empty>,1,.05,C,,
,,<empty>,1,2,2,1,874.47,C,1142.60,C,1162.40,C,10 APR 26,5625,0,C,.05,C,<empty>,328,47,<empty>,5,.07,C,,
,,<empty>,2,2,2,0,0, ,1118.30,C,1138.60,C,10 APR 26,5650,0,C,.05,C,40,"1,165",40,<empty>,4,.05,C,,
,,<empty>,0,2,2,0,0, ,1092.70,C,1113.60,C,10 APR 26,5675,0,C,.10,C,4,360,516,<empty>,4,.05,C,,
,,<empty>,1,2,2,1,653.08,C,1066.90,C,1087.40,C,10 APR 26,5700,0,C,.10,C,122,"1,800",433,<empty>,1,.05,C,,
,,<empty>,0,2,2,0,0, ,1047.00,C,1067.40,C,10 APR 26,5720,0,C,.10,C,22,127,472,<empty>,19,.05,C,,
,,<empty>,0,2,2,0,0, ,1042.10,C,1062.40,C,10 APR 26,5725,0,C,.10,C,"1,031",170,559,<empty>,5,.05,C,,
,,<empty>,0,2,2,0,0, ,1037.10,C,1057.40,C,10 APR 26,5730,.05,C,.10,C,100,153,483,25,10,.05,C,,
,,<empty>,0,1,2,0,0, ,1028.30,C,1048.50,C,10 APR 26,5740,.05,C,.10,C,10,420,473,25,10,.05,C,,
,,<empty>,5,2,2,1,832.12,C,1018.30,C,1038.70,C,10 APR 26,5750,0,C,.10,C,161,"1,663",375,<empty>,10,.05,C,,
,,<empty>,0,2,2,0,0, ,1008.20,C,1028.50,C,10 APR 26,5760,0,C,.10,C,"1,100",187,415,<empty>,100,.05,C,,
,,<empty>,0,2,2,0,0, ,998.30,C,1018.70,C,10 APR 26,5770,0,C,.10,C,10,121,456,<empty>,10,.05,C,,
,,<empty>,0,2,2,0,0, ,992.30,C,1012.20,C,10 APR 26,5775,.05,C,.10,C,540,651,437,16,40,.08,C,,
,,<empty>,176,2,2,1,627.74,C,988.30,C,1008.70,C,10 APR 26,5780,.05,C,.10,C,<empty>,259,375,10,1,.10,C,,
,,<empty>,0,1,2,0,0, ,978.30,C,998.50,C,10 APR 26,5790,.05,C,.10,C,<empty>,173,382,10,1,.10,C,,
,,<empty>,1,2,2,1,796.80,C,968.40,C,987.20,C,10 APR 26,5800,.05,C,.10,C,94,"4,720",443,106,1,.05,C,,
,,<empty>,0,2,2,0,0, ,957.10,C,977.20,C,10 APR 26,5810,.05,C,.10,C,<empty>,200,469,10,6,.15,C,,
,,<empty>,2,2,2,1,932.15,C,947.70,C,967.20,C,10 APR 26,5820,.05,C,.10,C,<empty>,208,380,10,20,.84,C,,
,,2,4,2,2,1,948.04,C,943.30,C,963.70,C,10 APR 26,5825,.05,C,.10,C,60,445,270,62,20,.05,C,,
,,<empty>,0,2,2,0,0, ,938.30,C,958.70,C,10 APR 26,5830,.05,C,.10,C,<empty>,257,279,62,1,.10,C,,
,,<empty>,0,2,2,0,0, ,928.30,C,948.70,C,10 APR 26,5840,.05,C,.10,C,<empty>,130,336,63,4,.15,C,,
,,<empty>,28,2,2,1,935.86,C,918.30,C,938.70,C,10 APR 26,5850,.05,C,.10,C,43,"1,222",297,52,1,.05,C,,
,,<empty>,0,2,7,0,0, ,915.10,C,919.80,C,10 APR 26,5860,.05,C,.10,C,13,143,341,51,5,.05,C,,
,,<empty>,0,2,7,0,0, ,905.00,C,909.80,C,10 APR 26,5870,.05,C,.10,C,9,157,186,54,8,.05,C,,
,,<empty>,0,2,7,0,0, ,900.00,C,904.80,C,10 APR 26,5875,.05,C,.10,C,8,"1,229",192,55,8,.05,C,,
,,1,7,2,7,1,892.52,C,894.90,C,899.80,C,10 APR 26,5880,.05,C,.10,C,40,387,173,55,40,.05,C,,
,,<empty>,0,2,7,0,0, ,884.90,C,889.70,C,10 APR 26,5890,.05,C,.10,C,30,"3,073",181,56,9,.05,C,,
,,<empty>,1,2,7,1,450.90,C,875.00,C,879.70,C,10 APR 26,5900,.05,C,.10,C,517,"4,433",203,238,20,.08,C,,
,,<empty>,2,2,7,2,539.64,C,865.10,C,869.70,C,10 APR 26,5910,.05,C,.10,C,<empty>,168,188,155,1,.20,C,,
,,<empty>,0,2,7,0,0, ,855.10,C,859.70,C,10 APR 26,5920,.05,C,.10,C,<empty>,189,147,198,5,.20,C,,
,,<empty>,0,2,7,0,0, ,850.10,C,854.70,C,10 APR 26,5925,.05,C,.10,C,126,"1,049",93,309,21,.10,C,,
,,<empty>,0,2,7,0,0, ,845.20,C,849.60,C,10 APR 26,5930,.05,C,.10,C,<empty>,354,108,381,22,.15,C,,
,,<empty>,0,2,7,0,0, ,835.10,C,839.70,C,10 APR 26,5940,.05,C,.10,C,1,294,81,303,1,.20,C,,
,,<empty>,2,2,7,1,565.94,C,825.10,C,829.30,C,10 APR 26,5950,.05,C,.10,C,10,"2,427",56,355,5,.05,C,,
,,<empty>,50,9,7,0,0, ,815.10,C,819.60,C,10 APR 26,5960,.05,C,.10,C,10,167,31,335,1,.05,C,,
,,<empty>,0,2,7,0,0, ,805.20,C,809.50,C,10 APR 26,5970,.05,C,.10,C,1,466,55,327,1,.07,C,,
,,<empty>,1,2,7,2,444.90,C,800.20,C,804.60,C,10 APR 26,5975,.05,C,.10,C,4,719,58,352,1,.07,C,,
,,<empty>,0,2,7,0,0, ,795.30,C,799.60,C,10 APR 26,5980,.05,C,.10,C,10,250,51,363,2,.25,C,,
,,<empty>,0,2,7,0,0, ,785.30,C,789.50,C,10 APR 26,5990,.05,C,.15,C,3,228,449,370,11,.25,C,,
,,<empty>,765,4,9,1,761.50,C,775.70,C,779.60,C,10 APR 26,6000,.05,C,.15,C,163,"9,565",456,416,12,.10,C,,
,,<empty>,0,2,7,0,0, ,765.20,C,769.50,C,10 APR 26,6010,.05,C,.15,C,10,469,346,414,5,.10,C,,
,,<empty>,2,2,7,2,596.18,C,755.30,C,759.60,C,10 APR 26,6020,.05,C,.15,C,<empty>,681,343,473,1,.20,C,,
,,2,8,2,7,1,748.70,C,750.30,C,754.60,C,10 APR 26,6025,.05,C,.15,C,57,"1,230",450,479,12,.07,C,,
,,<empty>,0,2,7,0,0, ,745.40,C,749.60,C,10 APR 26,6030,.05,C,.15,C,11,870,413,504,2,.08,C,,
,,<empty>,0,2,8,0,0, ,735.50,C,739.60,C,10 APR 26,6040,.05,C,.15,C,9,344,401,484,1,.10,C,,
,,<empty>,5,2,8,1,736.44,C,725.30,C,729.40,C,10 APR 26,6050,.05,C,.15,C,6,"5,681",410,508,1,.10,C,,
,,<empty>,0,2,8,0,0, ,715.40,C,719.40,C,10 APR 26,6060,.10,C,.15,C,1,563,250,28,1,.10,C,,
,,<empty>,0,2,8,1,472.15,C,705.40,C,709.50,C,10 APR 26,6070,.10,C,.15,C,<empty>,385,250,46,6,.20,C,,
,,<empty>,0,2,8,0,0, ,700.50,C,704.60,C,10 APR 26,6075,.10,C,.15,C,11,741,277,51,2,.13,C,,
,,<empty>,0,2,8,0,0, ,695.50,C,699.60,C,10 APR 26,6080,.10,C,.15,C,<empty>,879,269,75,1,.25,C,,
,,<empty>,0,2,8,1,367.54,C,685.60,C,689.60,C,10 APR 26,6090,.10,C,.15,C,24,434,218,70,24,.10,C,,
,,<empty>,0,2,8,0,0, ,680.60,C,684.60,C,10 APR 26,6095,.10,C,.15,C,9,415,202,171,1,.25,C,,
,,1,20,10,8,1,672.63,C,675.60,C,679.70,C,10 APR 26,6100,.10,C,.15,C,294,"3,662",186,184,1,.12,C,,
,,<empty>,0,2,8,0,0, ,670.40,C,674.40,C,10 APR 26,6105,.10,C,.15,C,9,428,145,230,9,.12,C,,
,,30,33,2,8,3,669.87,C,665.40,C,669.40,C,10 APR 26,6110,.10,C,.15,C,23,235,107,228,5,.10,C,,
,,<empty>,0,10,8,0,0, ,660.50,C,664.40,C,10 APR 26,6115,.10,C,.15,C,<empty>,232,43,209,1,.40,C,,
,,<empty>,2,2,8,1,460.40,C,655.50,C,659.30,C,10 APR 26,6120,.10,C,.15,C,6,566,43,217,1,.12,C,,
,,<empty>,1,2,8,1,267.60,C,650.50,C,654.40,C,10 APR 26,6125,.10,C,.20,C,10,"2,086",433,287,1,.15,C,,
,,<empty>,2,10,8,1,317.96,C,645.60,C,649.70,C,10 APR 26,6130,.10,C,.20,C,1,559,367,265,1,.40,C,,
